,id,group,category,images,size,colour,season,price,made_in,clothes_care,brand
65, _ 0881/021,Mujer,Camisa,14,XS-XXL,1,Primavera-Verano,"25,95",INDIA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - Se puede usar secadora temperatura reducida,Zara
66, _ 2883/335,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"19,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Limpieza en seco solo esencias minerales - No usar secadora,Zara
67, _ 7385/014,Mujer,Camisa,8,XS-XL,1,Primavera-Verano,"17,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
68, _ 3564/079,Mujer,Camisa,4,XS-XL,1,Primavera-Verano,"22,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
69, _ 3232/302,Mujer,Camisa,5,XS-XL,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
70, _ 3101/936,Mujer,Camisa,5,XS-L,1,Primavera-Verano,"22,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - No planchar - Lim.Seco tetracloroetileno - No usar secadora,Zara
71, _ 3018/255,Mujer,Camisa,7,XS-L,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
72, _ 3144/625,Mujer,Camisa,8,XS-L,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
73, _ 2448/632,Mujer,Camisa,5,XS-XXL,1,Primavera-Verano,"22,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
74, _ 4387/047,Mujer,Camisa,8,XS-M,1,Primavera-Verano,"17,95",CAMBOYA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
75, _ 4661/011,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"19,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
76, _ 8741/046,Mujer,Camisa,9,XS-L,1,Primavera-Verano,"19,95",CAMBOYA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
77, _ 1821/001,Mujer,Camisa,5,XS-S-M-L,1,Primavera-Verano,"19,95",INDIA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - No usar secadora,Zara
78, _ 3666/084,Mujer,Camisa,7,XS-XL,1,Primavera-Verano,"25,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
79, _ 3068/166,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"39,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
80, _ 3067/058,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"19,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - No usar secadora,Zara
81, _ 2620/791,Mujer,Camisa,7,XS-XXL,1,Primavera-Verano,"29,95",MARRUECOS,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - Limpieza en seco solo esencias minerales - No usar secadora,Zara
82, _ 4437/041,Mujer,Camisa,12,XS-XXL,2,Primavera-Verano,"29,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
83, _ 4387/064,Mujer,Camisa,7,XS-XL,1,Primavera-Verano,"19,95",CAMBOYA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - Se puede usar secadora temperatura reducida,Zara
84, _ 9479/092,Mujer,Camisa,8,XS-XXL,1,Primavera-Verano,"29,95",TURQUÍA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - No usar secadora,Zara
85, _ 3295/487,Mujer,Camisa,5,XS-XXL,1,Primavera-Verano,"59,95",MARRUECOS,No lavar - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
86, _ 2597/027,Mujer,Camisa,9,XS-XXL,1,Primavera-Verano,"29,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
87, _ 4043/092,Mujer,Camisa,5,XS-XL,1,Primavera-Verano,"25,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
88, _ 7969/045,Mujer,Camisa,5,XS-L,1,Primavera-Verano,"25,95",INDONESIA,Lavar a mano max 30ºC - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
89, _ 3666/094,Mujer,Camisa,5,XS-L,1,Primavera-Verano,"22,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
90, _ 2731/081,Mujer,Camisa,10,XS-XL,1,Primavera-Verano,"39,95",CHINA,No lavar - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
91, _ 2974/270,Mujer,Camisa,6,XS-L,1,Primavera-Verano,"19,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
92, _ 3042/678,Mujer,Camisa,8,XS-XL,1,Primavera-Verano,"17,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - No usar secadora,Zara
93, _ 3067/037,Mujer,Camisa,3,XS-XXL,1,Primavera-Verano,"19,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - No planchar - Lim.Seco tetracloroetileno - No usar secadora,Zara
94, _ 3564/095,Mujer,Camisa,7,XS-L,1,Primavera-Verano,"22,95",TURQUÍA,No lavar - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
95, _ 3055/177,Mujer,Camisa,6,XS-XXL,1,Primavera-Verano,"39,95",MARRUECOS,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
96, _ 2614/790,Mujer,Camisa,9,XS-XXL,1,Primavera-Verano,"39,95",MARRUECOS,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 200 º C - Limpieza en seco solo esencias minerales - No usar secadora,Zara
97, _ 4437/091,Mujer,Camisa,5,XS-XXL,1,Primavera-Verano,"39,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
98, _ 9479/091,Mujer,Camisa,11,XS-XXL,1,Primavera-Verano,"29,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - No usar secadora,Zara
99, _ 4437/061,Mujer,Camisa,9,XS-XXL,1,Primavera-Verano,"25,95",TURQUÍA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - No usar secadora,Zara
100, _ 0881/020,Mujer,Camisa,5,XS-XXL,1,Primavera-Verano,"25,95",INDIA,Lavar a máquina max. 30ºC. Centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - Se puede usar secadora temperatura reducida,Zara
101, _ 8246/087,Mujer,Jeans,10,32-42,1,Primavera-Verano,"25,95",TÚNEZ,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
102, _ 8197/045,Mujer,Jeans,5,32-46,1,Primavera-Verano,"29,95",BANGLADESH,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
103, _ 4060/021,Mujer,Jeans,4,32-46,1,Primavera-Verano,"25,95",PAKISTÁN,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
104, _ 0774/036,Mujer,Jeans,7,32-46,3,Primavera-Verano,"25,95",BANGLADESH,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
105, _ 2553/060,Mujer,Jeans,8,34-44,1,Primavera-Verano,"29,95",TURQUÍA,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - No limpieza en seco - Se puede usar secadora temperatura reducida,Zara
106, _ 3643/017,Mujer,Jeans,10,32-46,7,Primavera-Verano,"19,95",PAKISTÁN,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
107, _ 4365/033,Mujer,Jeans,6,32-46,7,Primavera-Verano,"25,95",BANGLADESH,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
108, _ 8246/084,Mujer,Jeans,11,32-44,1,Primavera-Verano,"29,95",TÚNEZ,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 110ºC  - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
109, _ 9632/046,Mujer,Jeans,10,34-46,1,Primavera-Verano,"29,95",TURQUÍA,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Limpieza en seco solo esencias minerales - No usar secadora,Zara
110, _ 6688/010,Mujer,Jeans,12,32-46,1,Primavera-Verano,"29,95",TURQUÍA,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
111,NULL,Mujer,Jeans,10,32-46,4,Primavera-Verano,"25,95",NULL,NULL - NULL - NULL - NULL - NULL,Zara
112, _ 6045/025,Mujer,Jeans,5,32-46,6,Primavera-Verano,"29,95",BANGLADESH,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
113, _ 4130/052,Mujer,Jeans,9,34-44,1,Primavera-Verano,"29,95",EGIPTO,Lavar a máquina max. 40ºC centrifugado corto - No usar lejía / blanqueador - Planchar máximo 150 º C - Lim.Seco tetracloroetileno - Se puede usar secadora temperatura reducida,Zara
